,mean_rewards,median_rewards,min_rewards,max_rewards,steps
0,-1786.2764805,-1786.2764805,-1875.063039,-1697.489922,3840
1,-1786.2764805,-1786.2764805,-1875.063039,-1697.489922,4320
2,-1786.2764805,-1786.2764805,-1875.063039,-1697.489922,4800
3,-1786.2764805,-1786.2764805,-1875.063039,-1697.489922,5280
4,-1567.1174796666667,-1697.489922,-1875.063039,-1128.799478,5760
5,-1567.1174796666667,-1697.489922,-1875.063039,-1128.799478,6240
6,-1567.1174796666667,-1697.489922,-1875.063039,-1128.799478,6720
7,-1567.1174796666667,-1697.489922,-1875.063039,-1128.799478,7200
8,-1530.17489475,-1558.418531,-1875.063039,-1128.799478,7680
9,-1530.17489475,-1558.418531,-1875.063039,-1128.799478,8160
10,-1530.17489475,-1558.418531,-1875.063039,-1128.799478,8640
11,-1530.17489475,-1558.418531,-1875.063039,-1128.799478,9120
12,-1469.893915,-1419.34714,-1875.063039,-1128.799478,9600
13,-1469.893915,-1419.34714,-1875.063039,-1128.799478,10080
14,-1469.893915,-1419.34714,-1875.063039,-1128.799478,10560
15,-1469.893915,-1419.34714,-1875.063039,-1128.799478,11040
16,-1431.8943368333332,-1330.621793,-1875.063039,-1128.799478,11520
17,-1431.8943368333332,-1330.621793,-1875.063039,-1128.799478,12000
18,-1431.8943368333332,-1330.621793,-1875.063039,-1128.799478,12480
19,-1431.8943368333332,-1330.621793,-1875.063039,-1128.799478,12960
20,-1417.6919884285712,-1332.477898,-1875.063039,-1128.799478,13440
21,-1417.6919884285712,-1332.477898,-1875.063039,-1128.799478,13920
22,-1417.6919884285712,-1332.477898,-1875.063039,-1128.799478,14400
23,-1417.6919884285712,-1332.477898,-1875.063039,-1128.799478,14880
24,-1412.35497575,-1353.7368925,-1875.063039,-1128.799478,15360
25,-1412.35497575,-1353.7368925,-1875.063039,-1128.799478,15840
26,-1412.35497575,-1353.7368925,-1875.063039,-1128.799478,16320
27,-1412.35497575,-1353.7368925,-1875.063039,-1128.799478,16800
28,-1396.5598642222221,-1332.477898,-1875.063039,-1128.799478,17280
29,-1396.5598642222221,-1332.477898,-1875.063039,-1128.799478,17760
30,-1396.5598642222221,-1332.477898,-1875.063039,-1128.799478,18240
31,-1396.5598642222221,-1332.477898,-1875.063039,-1128.799478,18720
32,-1388.5212194,-1324.325657,-1875.063039,-1128.799478,19200
33,-1388.5212194,-1324.325657,-1875.063039,-1128.799478,19680
34,-1388.5212194,-1324.325657,-1875.063039,-1128.799478,20160
35,-1388.5212194,-1324.325657,-1875.063039,-1128.799478,20640
36,-1329.0297839,-1298.1610500000002,-1697.489922,-1128.799478,21120
