,mean_rewards,median_rewards,min_rewards,max_rewards,steps
0,-2004.534368,-2004.534368,-2362.273795,-1646.794941,3840
1,-2004.534368,-2004.534368,-2362.273795,-1646.794941,4320
2,-2004.534368,-2004.534368,-2362.273795,-1646.794941,4800
3,-2004.534368,-2004.534368,-2362.273795,-1646.794941,5280
4,-1595.06213,-1646.794941,-2362.273795,-776.117654,5760
5,-1595.06213,-1646.794941,-2362.273795,-776.117654,6240
6,-1595.06213,-1646.794941,-2362.273795,-776.117654,6720
7,-1595.06213,-1646.794941,-2362.273795,-776.117654,7200
8,-1436.4748885,-1303.7540525,-2362.273795,-776.117654,7680
9,-1436.4748885,-1303.7540525,-2362.273795,-776.117654,8160
10,-1436.4748885,-1303.7540525,-2362.273795,-776.117654,8640
11,-1436.4748885,-1303.7540525,-2362.273795,-776.117654,9120
12,-1316.1572205999998,-960.713164,-2362.273795,-776.117654,9600
13,-1316.1572205999998,-960.713164,-2362.273795,-776.117654,10080
14,-1316.1572205999998,-960.713164,-2362.273795,-776.117654,10560
15,-1316.1572205999998,-960.713164,-2362.273795,-776.117654,11040
16,-1254.2187374999999,-952.619743,-2362.273795,-776.117654,11520
17,-1254.2187374999999,-952.619743,-2362.273795,-776.117654,12000
18,-1254.2187374999999,-952.619743,-2362.273795,-776.117654,12480
19,-1254.2187374999999,-952.619743,-2362.273795,-776.117654,12960
20,-1214.758456142857,-960.713164,-2362.273795,-776.117654,13440
21,-1214.758456142857,-960.713164,-2362.273795,-776.117654,13920
22,-1214.758456142857,-960.713164,-2362.273795,-776.117654,14400
23,-1214.758456142857,-960.713164,-2362.273795,-776.117654,14880
24,-1300.577535875,-969.354966,-2362.273795,-776.117654,15360
25,-1300.577535875,-969.354966,-2362.273795,-776.117654,15840
26,-1300.577535875,-969.354966,-2362.273795,-776.117654,16320
27,-1300.577535875,-969.354966,-2362.273795,-776.117654,16800
28,-1340.9077825555555,-977.996768,-2362.273795,-776.117654,17280
29,-1340.9077825555555,-977.996768,-2362.273795,-776.117654,17760
30,-1340.9077825555555,-977.996768,-2362.273795,-776.117654,18240
31,-1340.9077825555555,-977.996768,-2362.273795,-776.117654,18720
32,-1323.7505505000001,-1073.666115,-2362.273795,-776.117654,19200
33,-1323.7505505000001,-1073.666115,-2362.273795,-776.117654,19680
34,-1323.7505505000001,-1073.666115,-2362.273795,-776.117654,20160
35,-1323.7505505000001,-1073.666115,-2362.273795,-776.117654,20640
36,-1161.7366483,-969.354966,-1901.311094,-742.134773,21120
37,-1161.7366483,-969.354966,-1901.311094,-742.134773,21600
38,-1161.7366483,-969.354966,-1901.311094,-742.134773,22080
39,-1161.7366483,-969.354966,-1901.311094,-742.134773,22560
40,-1098.4527434,-969.354966,-1901.311094,-742.134773,23040
41,-1098.4527434,-969.354966,-1901.311094,-742.134773,23520
42,-1098.4527434,-969.354966,-1901.311094,-742.134773,24000
43,-1098.4527434,-969.354966,-1901.311094,-742.134773,24480
44,-1106.7548453,-969.354966,-1901.311094,-742.134773,24960
45,-1106.7548453,-969.354966,-1901.311094,-742.134773,25440
46,-1106.7548453,-969.354966,-1901.311094,-742.134773,25920
47,-1106.7548453,-969.354966,-1901.311094,-742.134773,26400
48,-1099.4615976,-961.2615450000001,-1901.311094,-742.134773,26880
49,-1099.4615976,-961.2615450000001,-1901.311094,-742.134773,27360
50,-1099.4615976,-961.2615450000001,-1901.311094,-742.134773,27840
51,-1099.4615976,-961.2615450000001,-1901.311094,-742.134773,28320
52,-1122.6445334,-995.97633,-1901.311094,-742.134773,28800
53,-1122.6445334,-995.97633,-1901.311094,-742.134773,29280
54,-1122.6445334,-995.97633,-1901.311094,-742.134773,29760
55,-1122.6445334,-995.97633,-1901.311094,-742.134773,30240
56,-1220.0927042999997,-1040.3358994999999,-1919.008031,-742.134773,30720
57,-1220.0927042999997,-1040.3358994999999,-1919.008031,-742.134773,31200
58,-1220.0927042999997,-1040.3358994999999,-1919.008031,-742.134773,31680
59,-1220.0927042999997,-1040.3358994999999,-1919.008031,-742.134773,32160
60,-1217.0428803999998,-1040.3358994999999,-1919.008031,-742.134773,32640
